Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","2016-17 
CALPADS Fall 1 
Certification Status"
2016-2017,01,61176,6066468,Alameda,Fremont Unified,John Gomes Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,756,26,3.4%,37,4.9%,721,24,3.3%,35,4.9%,Y
2016-2017,01,61176,6089320,Alameda,Fremont Unified,Brookvale Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,673,58,8.6%,70,10.4%,646,58,9.0%,70,10.8%,Y
2016-2017,01,61176,6089619,Alameda,Fremont Unified,Warwick Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,901,105,11.7%,134,14.9%,886,104,11.7%,133,15.0%,Y
2016-2017,01,61176,6090526,Alameda,Fremont Unified,Joshua Chadbourne Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,745,29,3.9%,36,4.8%,745,29,3.9%,36,4.8%,Y
2016-2017,01,61176,6090534,Alameda,Fremont Unified,Mission San Jose Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,630,16,2.5%,17,2.7%,618,16,2.6%,17,2.8%,Y
2016-2017,01,61176,6090542,Alameda,Fremont Unified,Oliveira Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,908,106,11.7%,148,16.3%,886,106,12.0%,148,16.7%,Y
2016-2017,01,61176,6090559,Alameda,Fremont Unified,Steven Millard Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,598,88,14.7%,134,22.4%,598,88,14.7%,134,22.4%,Y
2016-2017,01,61176,6104723,Alameda,Fremont Unified,Ardenwood Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,947,47,5.0%,55,5.8%,933,47,5.0%,55,5.9%,Y
2016-2017,01,61176,6106983,Alameda,Fremont Unified,Fred E. Weibel Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,836,34,4.1%,40,4.8%,820,33,4.0%,39,4.8%,Y
2016-2017,01,61176,6111330,Alameda,Fremont Unified,Forest Park Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,1011,28,2.8%,38,3.8%,1011,28,2.8%,38,3.8%,Y
2016-2017,01,61192,0000001,Alameda,Hayward Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75,13,17.3%,14,18.7%,51,13,25.5%,13,25.5%,Y
2016-2017,01,61192,0108670,Alameda,Hayward Unified,Leadership Public Schools - Hayward,Unified School District,High Schools (Public),Traditional,N/A,Yes,0684,Directly funded,Y,9,12,578,221,38.2%,346,59.9%,564,213,37.8%,334,59.2%,Y
2016-2017,01,61192,0111815,Alameda,Hayward Unified,Stonebrae Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,710,290,40.8%,348,49.0%,710,290,40.8%,348,49.0%,Y
2016-2017,01,61192,0113902,Alameda,Hayward Unified,Impact Academy of Arts & Technology,Unified School District,High Schools (Public),Traditional,N/A,Yes,0836,Directly funded,Y,9,12,587,246,41.9%,357,60.8%,579,243,42.0%,354,61.1%,Y
2016-2017,01,61192,0119248,Alameda,Hayward Unified,Golden Oak Montessori of Hayward,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1067,Directly funded,Y,1,8,239,55,23.0%,92,38.5%,239,55,23.0%,92,38.5%,Y
2016-2017,01,61192,0127696,Alameda,Hayward Unified,Knowledge Enlightens You (KEY) Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1514,Directly funded,Y,K,8,559,315,56.4%,365,65.3%,542,304,56.1%,351,64.8%,Y
2016-2017,01,61192,0127944,Alameda,Hayward Unified,Silver Oak High Public Montessori Charter,Unified School District,High Schools (Public),Traditional,N/A,Yes,1543,Directly funded,Y,9,12,188,76,40.4%,94,50.0%,178,71,39.9%,87,48.9%,Y
2016-2017,01,61192,0131334,Alameda,Hayward Unified,Highland,Unified School District,Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,K,12,14,10,71.4%,10,71.4%,14,10,71.4%,10,71.4%,Y
2016-2017,01,61192,0133009,Alameda,Hayward Unified,Brenkwitz High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,200,107,53.5%,119,59.5%,150,79,52.7%,91,60.7%,Y
2016-2017,01,61192,0133629,Alameda,Hayward Unified,Hayward High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1576,865,54.9%,1035,65.7%,1532,841,54.9%,1007,65.7%,Y
2016-2017,01,61192,0135319,Alameda,Hayward Unified,Mt. Eden High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2007,1003,50.0%,1227,61.1%,1950,978,50.2%,1198,61.4%,Y
2016-2017,01,61192,0138339,Alameda,Hayward Unified,Tennyson High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1394,907,65.1%,1064,76.3%,1315,846,64.3%,999,76.0%,Y
2016-2017,01,61192,6000889,Alameda,Hayward Unified,Bowman Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,366,223,60.9%,264,72.1%,366,223,60.9%,264,72.1%,Y
2016-2017,01,61192,6000905,Alameda,Hayward Unified,Burbank Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,917,516,56.3%,648,70.7%,908,511,56.3%,641,70.6%,Y
2016-2017,01,61192,6000913,Alameda,Hayward Unified,Cherryland Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,788,565,71.7%,644,81.7%,775,557,71.9%,634,81.8%,Y
2016-2017,01,61192,6000921,Alameda,Hayward Unified,East Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,611,286,46.8%,332,54.3%,601,283,47.1%,328,54.6%,Y
2016-2017,01,61192,6000947,Alameda,Hayward Unified,Eldridge Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,476,274,57.6%,345,72.5%,476,274,57.6%,345,72.5%,Y
2016-2017,01,61192,6000962,Alameda,Hayward Unified,Fairview Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,579,326,56.3%,406,70.1%,560,316,56.4%,392,70.0%,Y
2016-2017,01,61192,6000988,Alameda,Hayward Unified,Glassbrook Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,556,424,76.3%,472,84.9%,544,414,76.1%,461,84.7%,Y
2016-2017,01,61192,6000996,Alameda,Hayward Unified,Harder Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,610,421,69.0%,485,79.5%,610,421,69.0%,485,79.5%,Y
2016-2017,01,61192,6001044,Alameda,Hayward Unified,Longwood Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,708,491,69.4%,568,80.2%,696,482,69.3%,559,80.3%,Y
2016-2017,01,61192,6001051,Alameda,Hayward Unified,Lorin A. Eden Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,464,225,48.5%,271,58.4%,464,225,48.5%,271,58.4%,Y
2016-2017,01,61192,6001093,Alameda,Hayward Unified,Palma Ceia Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,588,342,58.2%,416,70.7%,588,342,58.2%,416,70.7%,Y
2016-2017,01,61192,6001101,Alameda,Hayward Unified,Park Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,584,365,62.5%,428,73.3%,571,356,62.3%,419,73.4%,Y
2016-2017,01,61192,6001127,Alameda,Hayward Unified,Ruus Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,573,302,52.7%,386,67.4%,556,292,52.5%,376,67.6%,Y
2016-2017,01,61192,6001135,Alameda,Hayward Unified,Schafer Park Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,734,492,67.0%,582,79.3%,723,486,67.2%,574,79.4%,Y
2016-2017,01,61192,6001176,Alameda,Hayward Unified,Southgate Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,699,297,42.5%,371,53.1%,684,295,43.1%,368,53.8%,Y
2016-2017,01,61192,6001192,Alameda,Hayward Unified,Treeview Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,496,284,57.3%,329,66.3%,496,284,57.3%,329,66.3%,Y
2016-2017,01,61192,6056931,Alameda,Hayward Unified,Bret Harte Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,637,319,50.1%,373,58.6%,637,319,50.1%,373,58.6%,Y
2016-2017,01,61192,6056949,Alameda,Hayward Unified,Cesar Chavez Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,7,8,567,390,68.8%,463,81.7%,567,390,68.8%,463,81.7%,Y
2016-2017,01,61192,6056956,Alameda,Hayward Unified,Anthony W. Ochoa Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,583,319,54.7%,393,67.4%,583,319,54.7%,393,67.4%,Y
2016-2017,01,61192,6056972,Alameda,Hayward Unified,Winton Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,7,8,505,335,66.3%,399,79.0%,505,335,66.3%,399,79.0%,Y
2016-2017,01,61192,6062160,Alameda,Hayward Unified,Strobridge Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,550,356,64.7%,409,74.4%,550,356,64.7%,409,74.4%,Y
2016-2017,01,61192,6066476,Alameda,Hayward Unified,"Martin Luther King, Jr. Middle",Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,7,8,745,462,62.0%,548,73.6%,745,462,62.0%,548,73.6%,Y
2016-2017,01,61192,6090583,Alameda,Hayward Unified,Eden Gardens Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,589,264,44.8%,328,55.7%,589,264,44.8%,328,55.7%,Y
2016-2017,01,61192,6104566,Alameda,Hayward Unified,Tyrrell Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,735,576,78.4%,647,88.0%,735,576,78.4%,647,88.0%,Y
2016-2017,01,61192,6113815,Alameda,Hayward Unified,Faith Ringgold School of Arts and Science,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,135,83,61.5%,93,68.9%,135,83,61.5%,93,68.9%,Y
2016-2017,01,61200,0000001,Alameda,Livermore Valley Joint Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22,0,0.0%,0,0.0%,20,0,0.0%,0,0.0%,Y
2016-2017,01,61200,0107839,Alameda,Livermore Valley Joint Unified,Livermore Valley Charter,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1565,Directly funded,Y,K,8,785,49,6.2%,62,7.9%,776,49,6.3%,62,8.0%,Y
2016-2017,01,61200,0120931,Alameda,Livermore Valley Joint Unified,Livermore Valley Charter Preparatory High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1124,Directly funded,Y,9,12,307,40,13.0%,48,15.6%,298,39,13.1%,47,15.8%,Y
2016-2017,01,61200,0130393,Alameda,Livermore Valley Joint Unified,Vineyard Alternative,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,1,12,131,23,17.6%,29,22.1%,125,22,17.6%,28,22.4%,Y
2016-2017,01,61200,0132670,Alameda,Livermore Valley Joint Unified,Del Valle Continuation High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,7,12,121,58,47.9%,65,53.7%,94,47,50.0%,53,56.4%,Y
2016-2017,01,61200,0133397,Alameda,Livermore Valley Joint Unified,Granada High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2164,289,13.4%,346,16.0%,2076,272,13.1%,325,15.7%,Y
2016-2017,01,61200,0134536,Alameda,Livermore Valley Joint Unified,Livermore High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1810,302,16.7%,371,20.5%,1754,285,16.2%,353,20.1%,Y
2016-2017,01,61200,6001234,Alameda,Livermore Valley Joint Unified,Junction K-8,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,843,507,60.1%,571,67.7%,830,499,60.1%,563,67.8%,Y
2016-2017,01,61200,6001242,Alameda,Livermore Valley Joint Unified,East Avenue Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,618,151,24.4%,191,30.9%,618,151,24.4%,191,30.9%,Y
2016-2017,01,61200,6001259,Alameda,Livermore Valley Joint Unified,Emma C. Smith Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,764,46,6.0%,62,8.1%,751,46,6.1%,62,8.3%,Y
2016-2017,01,61200,6001283,Alameda,Livermore Valley Joint Unified,Jackson Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,537,198,36.9%,228,42.5%,523,194,37.1%,224,42.8%,Y
2016-2017,01,61200,6001291,Alameda,Livermore Valley Joint Unified,Joe Michell,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,737,151,20.5%,192,26.1%,722,148,20.5%,189,26.2%,Y
2016-2017,01,61200,6001317,Alameda,Livermore Valley Joint Unified,Marylin Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,410,301,73.4%,333,81.2%,394,294,74.6%,325,82.5%,Y
2016-2017,01,61200,6001341,Alameda,Livermore Valley Joint Unified,William Mendenhall Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,977,70,7.2%,94,9.6%,977,70,7.2%,94,9.6%,Y
2016-2017,01,61200,6071906,Alameda,Livermore Valley Joint Unified,Arroyo Seco Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,660,120,18.2%,152,23.0%,650,118,18.2%,150,23.1%,Y
2016-2017,01,61200,6085773,Alameda,Livermore Valley Joint Unified,Andrew N. Christensen Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,625,87,13.9%,104,16.6%,625,87,13.9%,104,16.6%,Y
2016-2017,01,61200,6089338,Alameda,Livermore Valley Joint Unified,Rancho Las Positas Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,565,96,17.0%,119,21.1%,549,94,17.1%,117,21.3%,Y
2016-2017,01,61200,6097661,Alameda,Livermore Valley Joint Unified,Sunset Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,795,42,5.3%,51,6.4%,794,42,5.3%,51,6.4%,Y
2016-2017,01,61200,6110332,Alameda,Livermore Valley Joint Unified,Leo R. Croce Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,P,5,594,109,18.4%,130,21.9%,577,107,18.5%,128,22.2%,Y
2016-2017,01,61200,6117543,Alameda,Livermore Valley Joint Unified,Altamont Creek Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,551,83,15.1%,99,18.0%,536,82,15.3%,97,18.1%,Y
2016-2017,01,61218,6001358,Alameda,Mountain House Elementary,Mountain House Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,16,12,75.0%,12,75.0%,16,12,75.0%,12,75.0%,Y
2016-2017,01,61234,0000001,Alameda,Newark Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,1,20.0%,1,20.0%,4,1,25.0%,1,25.0%,Y
2016-2017,01,61234,0130054,Alameda,Newark Unified,Newark Memorial High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1703,558,32.8%,759,44.6%,1667,543,32.6%,740,44.4%,Y
2016-2017,01,61234,0130484,Alameda,Newark Unified,Crossroads High (Alternative),Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,55,14,25.5%,15,27.3%,52,13,25.0%,14,26.9%,Y
2016-2017,01,61234,0135426,Alameda,Newark Unified,Bridgepoint High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,72,36,50.0%,42,58.3%,56,28,50.0%,33,58.9%,Y
2016-2017,01,61234,6001440,Alameda,Newark Unified,August Schilling Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,441,251,56.9%,332,75.3%,425,245,57.6%,325,76.5%,Y
2016-2017,01,61234,6001457,Alameda,Newark Unified,E. L. Musick Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,285,148,51.9%,185,64.9%,284,148,52.1%,185,65.1%,Y
2016-2017,01,61234,6001473,Alameda,Newark Unified,H. A. Snow Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,369,135,36.6%,183,49.6%,369,135,36.6%,183,49.6%,Y
2016-2017,01,61234,6001481,Alameda,Newark Unified,James A. Graham Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,376,213,56.6%,267,71.0%,376,213,56.6%,267,71.0%,Y
2016-2017,01,61234,6001499,Alameda,Newark Unified,James L. Bunker Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No,N/A,N/A,N,K,6,382,81,21.2%,116,30.4%,370,75,20.3%,110,29.7%,Y
2016-2017,01,61234,6001507,Alameda,Newark Unified,John F. Kennedy Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,370,81,21.9%,95,25.7%,370,81,21.9%,95,25.7%,Y
2016-2017,01,61234,6001523,Alameda,Newark Unified,Lincoln Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,400,160,40.0%,208,52.0%,388,157,40.5%,204,52.6%,Y
2016-2017,01,61234,6001531,Alameda,Newark Unified,Louis Milani Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No,N/A,N/A,N,K,6,486,151,31.1%,188,38.7%,486,151,31.1%,188,38.7%,Y
2016-2017,01,61234,6102917,Alameda,Newark Unified,Newark Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,901,347,38.5%,462,51.3%,901,347,38.5%,462,51.3%,Y
2016-2017,01,61242,0000001,Alameda,New Haven Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,2,10.0%,2,10.0%,17,2,11.8%,2,11.8%,Y
2016-2017,01,61242,0110460,Alameda,New Haven Unified,Core Learning Academy at Conley-Caraballo High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,149,71,47.7%,80,53.7%,116,55,47.4%,62,53.4%,Y
2016-2017,01,61242,0110478,Alameda,New Haven Unified,Alternative Learning Academy at Conley-Caraballo High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,12,6,50.0%,8,66.7%,9,4,44.4%,6,66.7%,Y
2016-2017,01,61242,0126763,Alameda,New Haven Unified,Decoto School for Independent Study,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,138,60,43.5%,66,47.8%,108,52,48.1%,57,52.8%,Y
2016-2017,01,61242,0134668,Alameda,New Haven Unified,James Logan High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,3750,1315,35.1%,1699,45.3%,3644,1267,34.8%,1646,45.2%,Y
2016-2017,01,61242,6001572,Alameda,New Haven Unified,Alvarado Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,800,298,37.3%,409,51.1%,785,295,37.6%,404,51.5%,Y
2016-2017,01,61242,6001606,Alameda,New Haven Unified,Hillview Crest Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,555,335,60.4%,407,73.3%,543,329,60.6%,401,73.8%,Y
2016-2017,01,61242,6001622,Alameda,New Haven Unified,Searles Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,697,390,56.0%,462,66.3%,683,383,56.1%,452,66.2%,Y
2016-2017,01,61242,6068266,Alameda,New Haven Unified,Itliong-Vera Cruz,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1444,436,30.2%,577,40.0%,1444,436,30.2%,577,40.0%,Y
2016-2017,01,61242,6097679,Alameda,New Haven Unified,Cesar Chavez Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1255,642,51.2%,776,61.8%,1255,642,51.2%,776,61.8%,Y
2016-2017,01,61242,6101604,Alameda,New Haven Unified,Pioneer Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,819,224,27.4%,296,36.1%,804,220,27.4%,292,36.3%,Y
2016-2017,01,61242,6115505,Alameda,New Haven Unified,Tom Kitayama Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,831,282,33.9%,350,42.1%,816,276,33.8%,344,42.2%,Y
2016-2017,01,61242,6115554,Alameda,New Haven Unified,Guy Jr. Emanuele Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,619,318,51.4%,392,63.3%,605,312,51.6%,386,63.8%,Y
2016-2017,01,61242,6118525,Alameda,New Haven Unified,Delaine Eastin Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,804,146,18.2%,208,25.9%,789,140,17.7%,201,25.5%,Y
